User_Questions,Bot_Response
Which Visa cards do you issue?,"We offer Visa Classic, Visa Gold, Mastercard Gold, Visa Platinum, Platinum Business and Visa Business Gold. Each is available in either EC or US currency."
credit card options,"We offer Visa Classic, Visa Gold, Mastercard Gold, Visa Platinum, Platinum Business and Visa Business Gold. Each is available in either EC or US currency."
Do your credit cards have rewards?,Yes — we offer a rewards and cashback programme giving 1% cash back or rewards points on eligible cards. Choosing rewards means the interest rate is 21% instead of 19.50%.
Is there cashback on ACB cards?,Yes — we offer a rewards and cashback programme giving 1% cash back or rewards points on eligible cards. Choosing rewards means the interest rate is 21% instead of 19.50%.
How much cashback do I earn?,Yes — we offer a rewards and cashback programme giving 1% cash back or rewards points on eligible cards. Choosing rewards means the interest rate is 21% instead of 19.50%.
Tell me about the rewards programme,Yes — we offer a rewards and cashback programme giving 1% cash back or rewards points on eligible cards. Choosing rewards means the interest rate is 21% instead of 19.50%.
Do I get points on my card?,Yes — we offer a rewards and cashback programme giving 1% cash back or rewards points on eligible cards. Choosing rewards means the interest rate is 21% instead of 19.50%.
Can I get a card for my spouse?,"Yes — you can request additional cards for family members. They're $50 a year on Gold, $80 on Platinum, $75 on Visa Gold Business, and $165 on Platinum Business."
How much for a supplementary card?,"Yes — you can request additional cards for family members. They're $50 a year on Gold, $80 on Platinum, $75 on Visa Gold Business, and $165 on Platinum Business."
Can I add a family member to my credit card?,"Yes — you can request additional cards for family members. They're $50 a year on Gold, $80 on Platinum, $75 on Visa Gold Business, and $165 on Platinum Business."
Additional cardholder fees?,"Yes — you can request additional cards for family members. They're $50 a year on Gold, $80 on Platinum, $75 on Visa Gold Business, and $165 on Platinum Business."
Can I use my credit card for PayPal?,"Yes, but PayPal credit transactions carry a $15 fee each."
Is there a fee for PayPal payments?,"Yes, but PayPal credit transactions carry a $15 fee each."
Does my ACB card work with PayPal?,"Yes, but PayPal credit transactions carry a $15 fee each."
How much for a PayPal transaction?,"Yes, but PayPal credit transactions carry a $15 fee each."
How do I apply for a credit card?,"You can apply for a credit card by calling 1-268-481-1177, visiting a branch, or completing the credit card application form on our website."
Where do I get a credit card application?,"You can apply for a credit card by calling 1-268-481-1177, visiting a branch, or completing the credit card application form on our website."
Can I apply for a card online?,"You can apply for a credit card by calling 1-268-481-1177, visiting a branch, or completing the credit card application form on our website."
Who do I call about a credit card application?,"You can apply for a credit card by calling 1-268-481-1177, visiting a branch, or completing the credit card application form on our website."
apply for credit card,"You can apply for a credit card by calling 1-268-481-1177, visiting a branch, or completing the credit card application form on our website."
What if my credit card is lost abroad?,"Your cards come with emergency card replacement, and Gold and Platinum holders also have access to emergency cash advance services while travelling. Call us immediately so we can block the card."
My credit card was stolen while travelling,"Your cards come with emergency card replacement, and Gold and Platinum holders also have access to emergency cash advance services while travelling. Call us immediately so we can block the card."
Can you replace my card overseas?,"Your cards come with emergency card replacement, and Gold and Platinum holders also have access to emergency cash advance services while travelling. Call us immediately so we can block the card."
Emergency card replacement — how does it work?,"Your cards come with emergency card replacement, and Gold and Platinum holders also have access to emergency cash advance services while travelling. Call us immediately so we can block the card."
What credit limit can I get?,Your credit limit depends on your income and creditworthiness. A branch representative can review your profile and discuss a limit increase with you.
How do I increase my credit limit?,Your credit limit depends on your income and creditworthiness. A branch representative can review your profile and discuss a limit increase with you.
Can I request a higher limit?,Your credit limit depends on your income and creditworthiness. A branch representative can review your profile and discuss a limit increase with you.
What determines my credit limit?,Your credit limit depends on your income and creditworthiness. A branch representative can review your profile and discuss a limit increase with you.
What's the difference between secured and unsecured loans?,"A secured loan is backed by collateral like property or a cash deposit, which usually means a better rate and a higher limit. An unsecured loan needs no collateral but caps out at EC$15,000 over 3 to 5 years."
Is a secured loan cheaper?,"A secured loan is backed by collateral like property or a cash deposit, which usually means a better rate and a higher limit. An unsecured loan needs no collateral but caps out at EC$15,000 over 3 to 5 years."
Should I secure my loan?,"A secured loan is backed by collateral like property or a cash deposit, which usually means a better rate and a higher limit. An unsecured loan needs no collateral but caps out at EC$15,000 over 3 to 5 years."
Explain secured versus unsecured,"A secured loan is backed by collateral like property or a cash deposit, which usually means a better rate and a higher limit. An unsecured loan needs no collateral but caps out at EC$15,000 over 3 to 5 years."
What is an unsecured loan?,"An unsecured loan doesn't require property or other collateral as security. You can borrow up to EC$15,000 and use it for a vacation, land, education, a car, or anything else you need."
How much can I borrow unsecured?,"An unsecured loan doesn't require property or other collateral as security. You can borrow up to EC$15,000 and use it for a vacation, land, education, a car, or anything else you need."
Do I need collateral for a personal loan?,"An unsecured loan doesn't require property or other collateral as security. You can borrow up to EC$15,000 and use it for a vacation, land, education, a car, or anything else you need."
What's the maximum on an unsecured loan?,"An unsecured loan doesn't require property or other collateral as security. You can borrow up to EC$15,000 and use it for a vacation, land, education, a car, or anything else you need."
Can I get a loan without security?,"An unsecured loan doesn't require property or other collateral as security. You can borrow up to EC$15,000 and use it for a vacation, land, education, a car, or anything else you need."
unsecured loan limit,"An unsecured loan doesn't require property or other collateral as security. You can borrow up to EC$15,000 and use it for a vacation, land, education, a car, or anything else you need."
Who can get a student loan?,"Any student leaving secondary school, attending a local college, or working and wanting to further their studies is eligible — whether you're studying in Antigua & Barbuda or abroad."
Am I eligible for a student loan?,"Any student leaving secondary school, attending a local college, or working and wanting to further their studies is eligible — whether you're studying in Antigua & Barbuda or abroad."
Can I get a student loan for overseas study?,"Any student leaving secondary school, attending a local college, or working and wanting to further their studies is eligible — whether you're studying in Antigua & Barbuda or abroad."
Do you fund local college students?,"Any student leaving secondary school, attending a local college, or working and wanting to further their studies is eligible — whether you're studying in Antigua & Barbuda or abroad."
student loan eligibility,"Any student leaving secondary school, attending a local college, or working and wanting to further their studies is eligible — whether you're studying in Antigua & Barbuda or abroad."
I'm getting married and need funds,"Congratulations! Depending on what you need, a personal loan, a mortgage, or a home equity loan could all work. Tell me a bit more about what you're planning and I'll point you the right way."
"I'm planning a big life change, what are my options?","Congratulations! Depending on what you need, a personal loan, a mortgage, or a home equity loan could all work. Tell me a bit more about what you're planning and I'll point you the right way."
I need money for something important,"Congratulations! Depending on what you need, a personal loan, a mortgage, or a home equity loan could all work. Tell me a bit more about what you're planning and I'll point you the right way."
What's the best way to borrow for a large expense?,"Congratulations! Depending on what you need, a personal loan, a mortgage, or a home equity loan could all work. Tell me a bit more about what you're planning and I'll point you the right way."
Can I get a loan with bad credit?,"Credit history is one factor among several, alongside income and the security you can offer. It's worth having a conversation rather than assuming — call 1-268-481-4200 and we'll talk it through."
Does my credit history matter?,"Credit history is one factor among several, alongside income and the security you can offer. It's worth having a conversation rather than assuming — call 1-268-481-4200 and we'll talk it through."
What if I've been declined before?,"Credit history is one factor among several, alongside income and the security you can offer. It's worth having a conversation rather than assuming — call 1-268-481-4200 and we'll talk it through."
"I have no credit history, can I still borrow?","Credit history is one factor among several, alongside income and the security you can offer. It's worth having a conversation rather than assuming — call 1-268-481-4200 and we'll talk it through."
Do I qualify for a loan?,Eligibility depends on factors like your creditworthiness and income. The best way to know is to speak with us — call 1-268-481-4200 or visit a branch and we'll review your situation properly.
Will I be approved?,Eligibility depends on factors like your creditworthiness and income. The best way to know is to speak with us — call 1-268-481-4200 or visit a branch and we'll review your situation properly.
What are the eligibility criteria?,Eligibility depends on factors like your creditworthiness and income. The best way to know is to speak with us — call 1-268-481-4200 or visit a branch and we'll review your situation properly.
Can I get a loan with my income?,Eligibility depends on factors like your creditworthiness and income. The best way to know is to speak with us — call 1-268-481-4200 or visit a branch and we'll review your situation properly.
Am I eligible to borrow?,Eligibility depends on factors like your creditworthiness and income. The best way to know is to speak with us — call 1-268-481-4200 or visit a branch and we'll review your situation properly.
What do I need for a home equity loan?,"For a home equity loan you'll need two government-issued photo IDs with one being a passport, a recent utility bill, a job letter, and a bank statement if applicable. Call 1-268-481-4262 or the Market Street branch on 1-268-480-1177."
How do I apply for a renovation loan?,"For a home equity loan you'll need two government-issued photo IDs with one being a passport, a recent utility bill, a job letter, and a bank statement if applicable. Call 1-268-481-4262 or the Market Street branch on 1-268-480-1177."
Home equity loan requirements?,"For a home equity loan you'll need two government-issued photo IDs with one being a passport, a recent utility bill, a job letter, and a bank statement if applicable. Call 1-268-481-4262 or the Market Street branch on 1-268-480-1177."
Who do I contact about a renovation loan?,"For a home equity loan you'll need two government-issued photo IDs with one being a passport, a recent utility bill, a job letter, and a bank statement if applicable. Call 1-268-481-4262 or the Market Street branch on 1-268-480-1177."
What documents for a land loan?,"For a land loan you'll need two photo IDs including a passport, proof of address, proof of income, a valuation report from a bank-approved valuator for the property being used as security, and a bank statement if you're using cash security."
Do I need a valuation for land?,"For a land loan you'll need two photo IDs including a passport, proof of address, proof of income, a valuation report from a bank-approved valuator for the property being used as security, and a bank statement if you're using cash security."
Land loan requirements?,"For a land loan you'll need two photo IDs including a passport, proof of address, proof of income, a valuation report from a bank-approved valuator for the property being used as security, and a bank statement if you're using cash security."
Who can do the property valuation?,"For a land loan you'll need two photo IDs including a passport, proof of address, proof of income, a valuation report from a bank-approved valuator for the property being used as security, and a bank statement if you're using cash security."
How do I apply for a car loan?,"For a vehicle loan, call our Head Office on 1-268-481-4262 or the Market Street branch on 1-268-480-1177, or visit a branch with your ID, proof of address, and job letter."
Who do I call about vehicle financing?,"For a vehicle loan, call our Head Office on 1-268-481-4262 or the Market Street branch on 1-268-480-1177, or visit a branch with your ID, proof of address, and job letter."
Where do I apply for an auto loan?,"For a vehicle loan, call our Head Office on 1-268-481-4262 or the Market Street branch on 1-268-480-1177, or visit a branch with your ID, proof of address, and job letter."
What's the number for vehicle loans?,"For a vehicle loan, call our Head Office on 1-268-481-4262 or the Market Street branch on 1-268-480-1177, or visit a branch with your ID, proof of address, and job letter."
I need money for a medical emergency,"For medical or emergency expenses an unsecured personal loan is usually the quickest route — up to EC$15,000 with no collateral required, repayable over 3 to 5 years."
What's the fastest loan to get?,"For medical or emergency expenses an unsecured personal loan is usually the quickest route — up to EC$15,000 with no collateral required, repayable over 3 to 5 years."
I need funds urgently,"For medical or emergency expenses an unsecured personal loan is usually the quickest route — up to EC$15,000 with no collateral required, repayable over 3 to 5 years."
Is there an emergency loan?,"For medical or emergency expenses an unsecured personal loan is usually the quickest route — up to EC$15,000 with no collateral required, repayable over 3 to 5 years."
What do I need to apply for a loan?,"For most loans you'll need two government-issued photo IDs — one must be a passport — a recent utility bill for proof of address, a job or employment letter for proof of income, and a bank statement if you're using cash as security."
What documents are required for a loan?,"For most loans you'll need two government-issued photo IDs — one must be a passport — a recent utility bill for proof of address, a job or employment letter for proof of income, and a bank statement if you're using cash as security."
Loan application requirements?,"For most loans you'll need two government-issued photo IDs — one must be a passport — a recent utility bill for proof of address, a job or employment letter for proof of income, and a bank statement if you're using cash as security."
What should I bring to apply for a loan?,"For most loans you'll need two government-issued photo IDs — one must be a passport — a recent utility bill for proof of address, a job or employment letter for proof of income, and a bank statement if you're using cash as security."
Do I need a job letter for a loan?,"For most loans you'll need two government-issued photo IDs — one must be a passport — a recent utility bill for proof of address, a job or employment letter for proof of income, and a bank statement if you're using cash as security."
Do you offer land loans?,"Our land loans require zero down payment, and we aim to give you a decision within 24 hours."
How much down payment for land?,"Our land loans require zero down payment, and we aim to give you a decision within 24 hours."
Can I buy land with no deposit?,"Our land loans require zero down payment, and we aim to give you a decision within 24 hours."
How fast is a land loan decision?,"Our land loans require zero down payment, and we aim to give you a decision within 24 hours."
I want to buy a plot of land,"Our land loans require zero down payment, and we aim to give you a decision within 24 hours."
How much can I borrow for school?,"Students can borrow up to a maximum of $270,000 at an interest rate of 9%."
What's the maximum student loan?,"Students can borrow up to a maximum of $270,000 at an interest rate of 9%."
What's the interest rate on a student loan?,"Students can borrow up to a maximum of $270,000 at an interest rate of 9%."
How much is a student loan at ACB?,"Students can borrow up to a maximum of $270,000 at an interest rate of 9%."
student loan amount and rate,"Students can borrow up to a maximum of $270,000 at an interest rate of 9%."
How long does loan approval take?,"Timelines vary by product and how complete your documentation is. Land loans get a decision within 24 hours. For others, having your two IDs, proof of address and job letter ready up front is the single biggest thing that speeds it up."
When will I hear back about my loan?,"Timelines vary by product and how complete your documentation is. Land loans get a decision within 24 hours. For others, having your two IDs, proof of address and job letter ready up front is the single biggest thing that speeds it up."
How fast can I get approved?,"Timelines vary by product and how complete your documentation is. Land loans get a decision within 24 hours. For others, having your two IDs, proof of address and job letter ready up front is the single biggest thing that speeds it up."
What's the turnaround on a loan application?,"Timelines vary by product and how complete your documentation is. Land loans get a decision within 24 hours. For others, having your two IDs, proof of address and job letter ready up front is the single biggest thing that speeds it up."
How long until I get a decision?,"Timelines vary by product and how complete your documentation is. Land loans get a decision within 24 hours. For others, having your two IDs, proof of address and job letter ready up front is the single biggest thing that speeds it up."
How long do I have to repay an unsecured loan?,"Unsecured loans are repaid over 3 to 5 years, with low monthly instalments and a competitive interest rate."
What's the term on a personal loan?,"Unsecured loans are repaid over 3 to 5 years, with low monthly instalments and a competitive interest rate."
Repayment period for unsecured loans?,"Unsecured loans are repaid over 3 to 5 years, with low monthly instalments and a competitive interest rate."
How many years to pay back a personal loan?,"Unsecured loans are repaid over 3 to 5 years, with low monthly instalments and a competitive interest rate."
How long is a car loan?,"Vehicle loans give you up to 10 years to repay, with low monthly instalments and a very competitive interest rate."
What's the term on a vehicle loan?,"Vehicle loans give you up to 10 years to repay, with low monthly instalments and a very competitive interest rate."
How many years to repay a car loan?,"Vehicle loans give you up to 10 years to repay, with low monthly instalments and a very competitive interest rate."
Repayment period for auto financing?,"Vehicle loans give you up to 10 years to repay, with low monthly instalments and a very competitive interest rate."
What loans do you offer?,"We offer unsecured loans, student loans, vehicle loans, land loans, personal and travel loans, home equity and renovation loans, mortgages, and business loans."
What kinds of loans are available?,"We offer unsecured loans, student loans, vehicle loans, land loans, personal and travel loans, home equity and renovation loans, mortgages, and business loans."
Tell me about your loan products,"We offer unsecured loans, student loans, vehicle loans, land loans, personal and travel loans, home equity and renovation loans, mortgages, and business loans."
List your loans,"We offer unsecured loans, student loans, vehicle loans, land loans, personal and travel loans, home equity and renovation loans, mortgages, and business loans."
What can I borrow for?,"We offer unsecured loans, student loans, vehicle loans, land loans, personal and travel loans, home equity and renovation loans, mortgages, and business loans."
loan options,"We offer unsecured loans, student loans, vehicle loans, land loans, personal and travel loans, home equity and renovation loans, mortgages, and business loans."
Can I get a loan for a vacation?,Yes — our personal loans are typically unsecured and can absolutely be used for travel. Your eligibility depends on your creditworthiness and income.
Do you offer travel loans?,Yes — our personal loans are typically unsecured and can absolutely be used for travel. Your eligibility depends on your creditworthiness and income.
I want to finance a trip — can you help?,Yes — our personal loans are typically unsecured and can absolutely be used for travel. Your eligibility depends on your creditworthiness and income.
Is there a loan for a wedding?,Yes — our personal loans are typically unsecured and can absolutely be used for travel. Your eligibility depends on your creditworthiness and income.
Can I borrow money for a holiday?,Yes — our personal loans are typically unsecured and can absolutely be used for travel. Your eligibility depends on your creditworthiness and income.
Do you have a loan calculator?,"Yes — there's a loan calculator on our loan pages. Enter the amount, rate and term and it'll show your estimated monthly instalment."
How can I work out my monthly payment?,"Yes — there's a loan calculator on our loan pages. Enter the amount, rate and term and it'll show your estimated monthly instalment."
Can I estimate repayments before applying?,"Yes — there's a loan calculator on our loan pages. Enter the amount, rate and term and it'll show your estimated monthly instalment."
Where's the repayment calculator?,"Yes — there's a loan calculator on our loan pages. Enter the amount, rate and term and it'll show your estimated monthly instalment."
Can I finance a used car?,"Yes — we finance both new and used vehicles. Bring your two IDs, proof of address, and proof of income and we'll get started."
Do you lend on second-hand vehicles?,"Yes — we finance both new and used vehicles. Bring your two IDs, proof of address, and proof of income and we'll get started."
Is the loan only for new cars?,"Yes — we finance both new and used vehicles. Bring your two IDs, proof of address, and proof of income and we'll get started."
Can I get a loan for a pre-owned vehicle?,"Yes — we finance both new and used vehicles. Bring your two IDs, proof of address, and proof of income and we'll get started."
Do you offer scholarships?,"Yes — we run two scholarship programmes: the ACB Caribbean Louis H. Lockhart Scholarship Programme, which rewards academic excellence, and the ACB Mortgage & Trust Secondary School Scholarship, which covers tuition for one student entering secondary school for up to five years."
Tell me about ACB scholarships,"Yes — we run two scholarship programmes: the ACB Caribbean Louis H. Lockhart Scholarship Programme, which rewards academic excellence, and the ACB Mortgage & Trust Secondary School Scholarship, which covers tuition for one student entering secondary school for up to five years."
Is there financial aid for students?,"Yes — we run two scholarship programmes: the ACB Caribbean Louis H. Lockhart Scholarship Programme, which rewards academic excellence, and the ACB Mortgage & Trust Secondary School Scholarship, which covers tuition for one student entering secondary school for up to five years."
How do I apply for a scholarship?,"Yes — we run two scholarship programmes: the ACB Caribbean Louis H. Lockhart Scholarship Programme, which rewards academic excellence, and the ACB Mortgage & Trust Secondary School Scholarship, which covers tuition for one student entering secondary school for up to five years."
What is the Louis H. Lockhart scholarship?,"Yes — we run two scholarship programmes: the ACB Caribbean Louis H. Lockhart Scholarship Programme, which rewards academic excellence, and the ACB Mortgage & Trust Secondary School Scholarship, which covers tuition for one student entering secondary school for up to five years."
scholarship programmes,"Yes — we run two scholarship programmes: the ACB Caribbean Louis H. Lockhart Scholarship Programme, which rewards academic excellence, and the ACB Mortgage & Trust Secondary School Scholarship, which covers tuition for one student entering secondary school for up to five years."
Do you finance cars?,"Yes — whether it's your first vehicle or your tenth, we can help. The down payment can be as low as 5%."
Can I get a loan for a vehicle?,"Yes — whether it's your first vehicle or your tenth, we can help. The down payment can be as low as 5%."
How much down payment for a car loan?,"Yes — whether it's your first vehicle or your tenth, we can help. The down payment can be as low as 5%."
Do you do auto loans?,"Yes — whether it's your first vehicle or your tenth, we can help. The down payment can be as low as 5%."
I want to buy a car — can you help?,"Yes — whether it's your first vehicle or your tenth, we can help. The down payment can be as low as 5%."
vehicle financing,"Yes — whether it's your first vehicle or your tenth, we can help. The down payment can be as low as 5%."
Can I borrow against my home?,"Yes — with a Home Equity Loan you can borrow at a low interest rate against the equity you've already built in your home. It's commonly used for renovations, new appliances, or furniture."
What is a home equity loan?,"Yes — with a Home Equity Loan you can borrow at a low interest rate against the equity you've already built in your home. It's commonly used for renovations, new appliances, or furniture."
Can I get a loan for renovations?,"Yes — with a Home Equity Loan you can borrow at a low interest rate against the equity you've already built in your home. It's commonly used for renovations, new appliances, or furniture."
I want to fix up my house — can you finance it?,"Yes — with a Home Equity Loan you can borrow at a low interest rate against the equity you've already built in your home. It's commonly used for renovations, new appliances, or furniture."
Do you offer renovation loans?,"Yes — with a Home Equity Loan you can borrow at a low interest rate against the equity you've already built in your home. It's commonly used for renovations, new appliances, or furniture."
home equity borrowing,"Yes — with a Home Equity Loan you can borrow at a low interest rate against the equity you've already built in your home. It's commonly used for renovations, new appliances, or furniture."
Where do I start a loan application?,"You can apply for a loan by visiting any branch, calling 1-268-481-4200, or using the loan application form on our website. There's also a loan calculator on each loan page so you can estimate repayments first."
Is there a loan calculator?,"You can apply for a loan by visiting any branch, calling 1-268-481-4200, or using the loan application form on our website. There's also a loan calculator on each loan page so you can estimate repayments first."
How do I estimate my loan payments?,"You can apply for a loan by visiting any branch, calling 1-268-481-4200, or using the loan application form on our website. There's also a loan calculator on each loan page so you can estimate repayments first."
How long do I have to repay a student loan?,"You get up to 10 years to repay from the date of first disbursement. While studying you can choose to pay interest only, and interest-only payments continue for up to six months after graduation so you have time to find work."
Do I pay while I'm studying?,"You get up to 10 years to repay from the date of first disbursement. While studying you can choose to pay interest only, and interest-only payments continue for up to six months after graduation so you have time to find work."
When do student loan repayments start?,"You get up to 10 years to repay from the date of first disbursement. While studying you can choose to pay interest only, and interest-only payments continue for up to six months after graduation so you have time to find work."
Can I pay interest only while at university?,"You get up to 10 years to repay from the date of first disbursement. While studying you can choose to pay interest only, and interest-only payments continue for up to six months after graduation so you have time to find work."
What's the grace period after graduation?,"You get up to 10 years to repay from the date of first disbursement. While studying you can choose to pay interest only, and interest-only payments continue for up to six months after graduation so you have time to find work."
What do I need for a student loan?,"You'll need a letter of acceptance from the university with its schedule of fees, a guarantor or co-borrower, adequate security, and life insurance."
Do I need a guarantor for a student loan?,"You'll need a letter of acceptance from the university with its schedule of fees, a guarantor or co-borrower, adequate security, and life insurance."
What documents for education financing?,"You'll need a letter of acceptance from the university with its schedule of fees, a guarantor or co-borrower, adequate security, and life insurance."
Is life insurance required for a student loan?,"You'll need a letter of acceptance from the university with its schedule of fees, a guarantor or co-borrower, adequate security, and life insurance."
Do I need an acceptance letter?,"You'll need a letter of acceptance from the university with its schedule of fees, a guarantor or co-borrower, adequate security, and life insurance."
Is a mortgage right for me?,"Buying a home is likely the biggest investment you'll ever make, and the mortgage the greatest financial obligation. We'll walk you through the options and help you find the arrangement that actually fits your situation."
Can someone advise me on a mortgage?,"Buying a home is likely the biggest investment you'll ever make, and the mortgage the greatest financial obligation. We'll walk you through the options and help you find the arrangement that actually fits your situation."
"I'm a first-time buyer, where do I start?","Buying a home is likely the biggest investment you'll ever make, and the mortgage the greatest financial obligation. We'll walk you through the options and help you find the arrangement that actually fits your situation."
Can I get mortgage advice?,"Buying a home is likely the biggest investment you'll ever make, and the mortgage the greatest financial obligation. We'll walk you through the options and help you find the arrangement that actually fits your situation."
Help me understand mortgages,"Buying a home is likely the biggest investment you'll ever make, and the mortgage the greatest financial obligation. We'll walk you through the options and help you find the arrangement that actually fits your situation."
What documents do I need for a mortgage?,"For a mortgage you'll typically need two government-issued photo IDs including a passport, proof of address, proof of income such as a job letter, and a valuation report for the property from a bank-approved valuator."
Mortgage application requirements?,"For a mortgage you'll typically need two government-issued photo IDs including a passport, proof of address, proof of income such as a job letter, and a valuation report for the property from a bank-approved valuator."
What do I bring to apply for a home loan?,"For a mortgage you'll typically need two government-issued photo IDs including a passport, proof of address, proof of income such as a job letter, and a valuation report for the property from a bank-approved valuator."
Do I need a property valuation for a mortgage?,"For a mortgage you'll typically need two government-issued photo IDs including a passport, proof of address, proof of income such as a job letter, and a valuation report for the property from a bank-approved valuator."
Who handles mortgages at ACB?,Yes — ACB Mortgage & Trust handles our mortgage and trust services. You can reach them on 1-268-481-4300 or at acb_mortgage_and_trust@acbcaribbean.com.
What is ACB Mortgage and Trust?,Yes — ACB Mortgage & Trust handles our mortgage and trust services. You can reach them on 1-268-481-4300 or at acb_mortgage_and_trust@acbcaribbean.com.
What's the number for the mortgage department?,Yes — ACB Mortgage & Trust handles our mortgage and trust services. You can reach them on 1-268-481-4300 or at acb_mortgage_and_trust@acbcaribbean.com.
How do I contact mortgage and trust?,Yes — ACB Mortgage & Trust handles our mortgage and trust services. You can reach them on 1-268-481-4300 or at acb_mortgage_and_trust@acbcaribbean.com.
Do you offer mortgages?,"Yes — we offer residential mortgages to help you buy or build a home. You can apply online, by phone on 1-268-481-4200, or in person at any branch."
Can I get a home loan?,"Yes — we offer residential mortgages to help you buy or build a home. You can apply online, by phone on 1-268-481-4200, or in person at any branch."
I want to buy a house,"Yes — we offer residential mortgages to help you buy or build a home. You can apply online, by phone on 1-268-481-4200, or in person at any branch."
How do I get a mortgage?,"Yes — we offer residential mortgages to help you buy or build a home. You can apply online, by phone on 1-268-481-4200, or in person at any branch."
Do you finance home purchases?,"Yes — we offer residential mortgages to help you buy or build a home. You can apply online, by phone on 1-268-481-4200, or in person at any branch."
mortgage information,"Yes — we offer residential mortgages to help you buy or build a home. You can apply online, by phone on 1-268-481-4200, or in person at any branch."
Can I get a mortgage to build a house?,"Yes — you can build rather than buy. Bring your plans, quotes and the usual identification and income documents, and we'll talk through a construction arrangement that works."
Do you finance construction?,"Yes — you can build rather than buy. Bring your plans, quotes and the usual identification and income documents, and we'll talk through a construction arrangement that works."
"I want to build, not buy — is that possible?","Yes — you can build rather than buy. Bring your plans, quotes and the usual identification and income documents, and we'll talk through a construction arrangement that works."
Is there a construction loan?,"Yes — you can build rather than buy. Bring your plans, quotes and the usual identification and income documents, and we'll talk through a construction arrangement that works."
How do I apply for a mortgage?,"You can apply using the Mortgage Application Form on our website, call 1-268-481-4200, or book an appointment to sit down with someone."
Is there an online mortgage application?,"You can apply using the Mortgage Application Form on our website, call 1-268-481-4200, or book an appointment to sit down with someone."
Can I book a mortgage appointment?,"You can apply using the Mortgage Application Form on our website, call 1-268-481-4200, or book an appointment to sit down with someone."
Where's the mortgage application form?,"You can apply using the Mortgage Application Form on our website, call 1-268-481-4200, or book an appointment to sit down with someone."
Is it safe to bank on public Wi-Fi?,"For security, never use public Wi-Fi for banking, keep your device software up to date, and always log out when you're finished."
How do I keep my online banking secure?,"For security, never use public Wi-Fi for banking, keep your device software up to date, and always log out when you're finished."
Any security tips for the app?,"For security, never use public Wi-Fi for banking, keep your device software up to date, and always log out when you're finished."
Should I log out every time?,"For security, never use public Wi-Fi for banking, keep your device software up to date, and always log out when you're finished."
Do I need to re-register for the new system?,"If you were already using ACB Internet Banking, your registration details and sign-in credentials carry over to the updated system — no need to re-register."
Will my old login still work?,"If you were already using ACB Internet Banking, your registration details and sign-in credentials carry over to the updated system — no need to re-register."
Do my internet banking details carry over?,"If you were already using ACB Internet Banking, your registration details and sign-in credentials carry over to the updated system — no need to re-register."
I had the old online banking — what now?,"If you were already using ACB Internet Banking, your registration details and sign-in credentials carry over to the updated system — no need to re-register."
The app keeps crashing,"Make sure you're running the latest version from the App Store or Play Store. If it's still misbehaving, email connect@acbonline.com or call 1-268-481-4200 and our digital banking team will help."
My app isn't working properly,"Make sure you're running the latest version from the App Store or Play Store. If it's still misbehaving, email connect@acbonline.com or call 1-268-481-4200 and our digital banking team will help."
Who do I contact about app problems?,"Make sure you're running the latest version from the App Store or Play Store. If it's still misbehaving, email connect@acbonline.com or call 1-268-481-4200 and our digital banking team will help."
The app won't load,"Make sure you're running the latest version from the App Store or Play Store. If it's still misbehaving, email connect@acbonline.com or call 1-268-481-4200 and our digital banking team will help."
My login isn't working,"Sorry you're having trouble. Check your username and password first, and make sure Caps Lock isn't on. If it still won't let you in, call us on 1-268-481-4200 and we'll get it sorted."
The app won't let me sign in,"Sorry you're having trouble. Check your username and password first, and make sure Caps Lock isn't on. If it still won't let you in, call us on 1-268-481-4200 and we'll get it sorted."
I'm locked out of my account,"Sorry you're having trouble. Check your username and password first, and make sure Caps Lock isn't on. If it still won't let you in, call us on 1-268-481-4200 and we'll get it sorted."
"Login error, what do I do?","Sorry you're having trouble. Check your username and password first, and make sure Caps Lock isn't on. If it still won't let you in, call us on 1-268-481-4200 and we'll get it sorted."
What can the ACB Smart App do?,"The ACB Smart App handles wire transfers, electronic funds transfers, P2P payments to other ACB customers, bill payments through Merchant Pay, standing orders, statements, and credit card payments."
What features are in the mobile app?,"The ACB Smart App handles wire transfers, electronic funds transfers, P2P payments to other ACB customers, bill payments through Merchant Pay, standing orders, statements, and credit card payments."
Can I send a wire from the app?,"The ACB Smart App handles wire transfers, electronic funds transfers, P2P payments to other ACB customers, bill payments through Merchant Pay, standing orders, statements, and credit card payments."
Does the app do bill payments?,"The ACB Smart App handles wire transfers, electronic funds transfers, P2P payments to other ACB customers, bill payments through Merchant Pay, standing orders, statements, and credit card payments."
Tell me about the smart app,"The ACB Smart App handles wire transfers, electronic funds transfers, P2P payments to other ACB customers, bill payments through Merchant Pay, standing orders, statements, and credit card payments."
Where do I download the app?,The ACB Smart App is free to download on the Google Play Store and the Apple App Store.
Is the app free?,The ACB Smart App is free to download on the Google Play Store and the Apple App Store.
How do I get the ACB app?,The ACB Smart App is free to download on the Google Play Store and the Apple App Store.
Is the app on the Play Store?,The ACB Smart App is free to download on the Google Play Store and the Apple App Store.
download acb app,The ACB Smart App is free to download on the Google Play Store and the Apple App Store.
What can I do with online banking?,"Through online banking you can view balances, view and download statements, see cheques that have posted, pay utility bills, and transfer funds between your ACB accounts."
